source_path,target_path,action,phase,status,owner,done_when,remove_by_phase,notes
backend/application/chat/run_chat_turn.py,原位,retain+shrink,P6,done,application,resolve_lane_decision + ingress_router_active 守护 fast path；legacy flag 可回滚旧主链,,上帝文件瘦身 + P6 路由接线
backend/application/chat/fast_path_entry.py,backend/application/chat/fast_path_entry.py,new,P7,done,application,五类 fast path + FAST_CAPABILITY_WHITELIST + cross_lane_violation 审计；test_lane_capability_whitelist 全绿,,fast lane 真实入口与白名单
backend/application/chat/complex_path_entry.py,backend/application/chat/complex_path_entry.py,new,P5,done,application,tests/migration/test_route_target_table.py + tests/migration/test_autonomy_loop_contract.py 通过且 complex lane 已作为默认复杂入口运行,,complex 编排入口
backend/application/chat/autonomy_loop.py,backend/application/chat/autonomy_loop.py,new,P8,done,application,three_agent_autonomy_active 守护 + test_autonomy_loop_contract + test_budget_circuit + test_three_agent_autonomy_flags 全绿,,自治闭环协议与熔断
backend/config/budget_policy.py,backend/config/budget_policy.py,new,P8,done,config,MAX_AUTONOMY_ROUNDS 与预算默认值已接入 complex loop guard,,自治 budget 常量
backend/application/chat/response_assembly.py,backend/application/chat/response_assembly.py,new,P5,done,application,收容响应组装子函数,,响应组装
backend/application/chat/budget_clock.py,backend/application/chat/budget_clock.py,new,P5,done,application,收容 budget clock 子函数,,同步主链 budget 钟
backend/application/chat/history_buffer.py,backend/application/chat/history_buffer.py,new,P5,done,application,收容历史缓存与 ChatTurnDeps,,会话历史缓存
backend/application/ingress/,backend/application/ingress/,new,P6,done,application,runtime.py + resolve_lane_decision；test_lane_decision_contract + test_ingress_feature_flags + test_trace_contract 全绿,,Ingress Router 平面
backend/agents/main_agent/*,原位,retain+shrink,P5,existing,agents,Main 仅保留 Planner/Router/Manager 职责,,不再接入 provider/能力细节
backend/agents/middle_agent/*,原位,retain+shrink,P7,done,agents,§15.10.4：无 rag/retrieval/knowledge 直 import；只经 capabilities/knowledge/*,,MiddleAgent KB 横切归并
backend/agents/answer_agent/*,原位,retain+shrink,P5,existing,agents,Answer 仅保留 Critic/Verifier/Sign-off 职责,,不再承担能力执行
backend/agents/middle_agent/video_flow.py,原位,split,P5,done,agents,tests/backend/test_middle_agent.py + tests/backend/test_video_tools.py 通过,,视频编排入口瘦身
backend/services/video_processing_service.py,backend/services/capabilities/video/processing_service.py,move,P4,retired,services,P5 shim 已删；默认 import 已切新路径,P5,视频能力平面
backend/services/video_segment_service.py,backend/services/capabilities/video/segment_service.py,move,P4,retired,services,P5 shim 已删；默认 import 已切新路径,P5,视频能力平面
backend/services/video_parallel_asr_service.py,backend/services/capabilities/video/parallel_asr_service.py,move,P4,retired,services,P5 shim 已删；默认 import 已切新路径,P5,视频能力平面
